Gene1,Gene2,Ka,Ks,Ka/Ks,Species,Organism_Name
ep300b,crebbpa,0.3997174746462419,2.713826402672077,0.1472892570625275,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
tenm4,LOC108887372,0.3043036864804945,2.880081478878954,0.1056580130500134,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
tenm4,tenm2a,0.3214599800238355,2.917555865709057,0.1101812595268713,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
tenm4,si:dkey-237h12.3,0.3182568634955426,3.2446331428137123,0.0980871640913935,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
tenm4,tenm1,0.3822902253480019,2.31475905289408,0.1651533557542565,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108887372,si:dkey-237h12.3,0.1766798695474422,-1.0,inf,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108887372,tenm2a,0.2969858726448139,-1.0,inf,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108887372,tenm1,0.4202298740950819,2.4748005938586424,0.1698035288733589,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108882420,LOC108888498,0.1129006024532148,1.3846326918980238,0.0815383047893035,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108882420,flna,0.2125915974421235,1.5134513196270878,0.1404680776217538,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108882420,LOC108874767,0.2544541148290393,1.3271596543630348,0.1917283380281505,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
si:dkey-11f4.7,LOC108890116,0.5693603469158235,2.124281735754299,0.2680248751061509,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
tenm2a,si:dkey-237h12.3,0.3094106690339054,2.6475059042830336,0.1168687361691442,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
tenm2a,tenm1,0.4336383907598725,2.252080683700772,0.1925501132789294,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
itpr1b,LOC108885988,0.0766283350137728,2.1821262908971053,0.0351163611993647,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
itpr1b,itpr2,0.2558148588091314,2.128705682757695,0.120173897632353,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
itpr1b,itpr3,0.2946576391109958,1.9425422629845104,0.1516866040578626,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
tenm1,si:dkey-237h12.3,0.4319541784722097,3.700988664770046,0.1167131860154044,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108885988,itpr2,0.25579005785687,2.0744984864083067,0.1233021183349877,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108885988,itpr3,0.2998776309867557,1.68862325914816,0.1775870546388372,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108879369,LOC108873155,0.0414265597186422,0.0530035576961123,0.7815807375828421,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
col6a4a,LOC108881847,0.2567720757692002,0.5605213416516459,0.4580950923520401,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
baz2a,LOC108879901,0.7135886596764396,-1.0,inf,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
myo9aa,LOC108883012,0.2474041059826151,2.095173900106268,0.1180828502923154,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
myo9aa,LOC108881337,0.602471708337525,2.391427051754394,0.2519297872354253,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
myo9aa,myo9b,0.6284702333053134,3.983005749090255,0.1577879302456091,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108884326,svila,0.310585599821072,1.4799906440614794,0.2098564616386657,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108876139,LOC108872871,0.3540937396846767,1.5055647453153498,0.2351899782367111,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108876139,LOC108882265,0.3718979660335917,1.337535324096944,0.2780472106668913,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108876139,LOC108893349,0.4401370552751522,3.0202641452280323,0.1457280006354946,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108876139,sptb,0.4374450133341097,1.7503341465623068,0.2499208589361414,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108876139,sptbn4a,0.3746965308246118,1.8432732870153952,0.2032777957908323,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108888498,flna,0.2236551421388944,1.5410444884699563,0.1451321774369752,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108888498,LOC108874767,0.2545891787790957,1.66027795466677,0.1533412993068342,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
itpr3,itpr2,0.2996628403729694,1.658576317584715,0.180674737240521,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108888957,nipbla,0.2377404762082168,5.27741575344508,0.0450486539842953,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108891744,ptprb,0.4605761825678652,1.7358078912469623,0.2653382237114952,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108892299,LOC108872552,0.1223506337600094,0.2490133878427354,0.4913415893818531,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108892299,LOC127142704,0.0991887686445407,0.2338682833300333,0.4241223616652892,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108874767,flna,0.2446824106220491,1.336264977329861,0.1831091997269704,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
mast4,mast2,0.4419527332551137,2.09125516445655,0.2113337199432394,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
mast4,mast3b,0.3614596983055843,6.039222374642537,0.0598520266157576,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
mast4,mast1a,0.4383311107003754,2.5114950361007224,0.1745299530358284,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
nsd1b,nsd1a,0.5867062203419627,2.7605011982129235,0.2125361223250984,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
ttc28,LOC108878425,0.1933001637362776,2.195376917459023,0.0880487365058057,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC127140948,LOC108874699,0.0199958524523196,0.0459598872953684,0.4350718339192873,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
stab1,LOC108892199,0.683831530001181,1.7863857233387752,0.3828017214127149,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108892104,LOC108892199,0.0019030511875677,0.0053657892976172,0.3546637935285323,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
tln2b,tln2a,0.0594325997353447,1.3997465698786062,0.0424595430446378,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
tln2b,tln1,0.1743729917098472,1.51089892062716,0.1154100974785703,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
tln2a,tln1,0.1703900863427848,1.4138563727938107,0.1205144239694519,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
cacna1bb,cacna1ba,0.1929424724398711,1.5324405460940245,0.1259053559576287,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
cacna1bb,cacna1aa,0.3632418894435619,1.9157760113070383,0.1896056153222944,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
cacna1bb,cacna1ab,0.3656939756364403,1.5679759419888128,0.2332267771740144,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
cacna1bb,LOC108881362,0.4638257785467066,1.876798971040212,0.2471366330138343,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
cacna1bb,cacna1eb,0.4604489587548281,2.029807133733654,0.2268436991389779,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
cacna1bb,cacna1db,0.7086796570954307,1.827107507905648,0.3878697088316201,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
cacna1bb,cacna1c,0.6948978006703512,2.494320268857574,0.278592051448398,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
cacna1bb,cacna1da,0.6621042717272981,2.235282664103173,0.2962060603610253,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
cacna1bb,LOC108876486,0.6053835688999295,1.932582612336576,0.3132510688213192,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
cacna1bb,cacna1fb,0.6899661891589661,1.8088022431577155,0.3814492113601418,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
cacna1bb,LOC108877469,0.5525857532987257,2.4783671831932894,0.2229636338981612,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
cacna1bb,cacna1fa,0.6979584502830539,2.6690729615031525,0.2614984529647259,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
abca2,LOC108892258,0.6740699155979719,3.6883497465098496,0.1827565068187526,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
abca2,abca7,0.687289804363068,2.481767201556542,0.2769356464748208,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
abca2,abca4b,0.6850975133105088,2.3339982977251865,0.2935295685426308,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
abca2,abca4a,0.7011945251866166,2.455749712736597,0.2855317549463261,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
abca2,abca3b,0.6716592630139399,2.16370796140595,0.310420479563011,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108893618,LOC108895208,0.7163114080053252,2.493186901634825,0.2873075450282639,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108884494,tprb,0.4299441479829675,2.120441492316912,0.2027616180596366,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108881362,cacna1eb,0.2307362342353267,1.6708858317252264,0.1380921603704583,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108881362,cacna1ba,0.428954483387721,1.8554549828569948,0.2311856053372014,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108881362,cacna1ab,0.4580238786961009,2.0024658946329525,0.2287299273978674,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108881362,cacna1da,0.6401366227485606,2.0359643992151595,0.3144144480106459,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108881362,LOC108876486,0.610066477354101,2.058086352017242,0.2964241402000173,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108881362,LOC108877469,0.570300419598273,2.4561952599558965,0.232188551495093,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108881362,cacna1fb,0.6844578278639168,1.7889892816019424,0.3825947057944484,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108881362,cacna1fa,0.6724068767899719,2.332283911158395,0.288304041190252,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108875238,notch1a,0.1539302812007869,1.859108244335891,0.0827979122085889,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
igsf10,mxra5a,0.7987750057734885,4.902011280211482,0.1629484226195064,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
fn1a,fn1b,0.2243294642460816,1.6838252408470802,0.1332260966305674,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
mxra5a,si:ch211-159i8.4,0.828783399049123,-1.0,inf,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
dop1a,dop1b,0.6151387375976317,2.530245917890341,0.2431142100648144,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
sptb,LOC108872871,0.3304075677388985,1.375169472407306,0.2402667993789179,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
sptb,LOC108882265,0.3302809531704776,1.3415215042596016,0.2461987766291997,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
sptb,LOC108893349,0.3859752415852548,2.413502632430546,0.1599232735025252,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
sptb,sptan1,1.0751784100123742,2.1546314667086324,0.4990080329861668,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108890611,LOC108887113,0.3613345115966045,1.526520531152307,0.2367046523271116,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108881847,LOC108881842,0.0804429235953923,0.139091153122841,0.5783468020021921,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
rif1,LOC108888102,0.0056284482401913,0.0115144690395732,0.4888152654583872,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
si:ch73-103b11.2,mprip,0.6678413032164839,-1.0,inf,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
si:ch73-103b11.2,LOC108879273,0.7259287729260628,-1.0,inf,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108883012,LOC108881337,0.6630409687733129,2.229692807400416,0.2973687525800237,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108883012,myo9b,0.6264917778209909,2.511147276967366,0.2494842829678971,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
sptan1,LOC108872871,0.9754679372091638,1.9783151033966735,0.4930801648000014,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
sptan1,LOC108882265,0.9892565977474,1.756537052170373,0.5631857275797723,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
sptan1,LOC108893349,1.0119043697554957,2.576606649849236,0.3927275316993786,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108900605,LOC108890022,0.1394204465556665,0.193642373130303,0.7199893509973134,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108900605,LOC108896076,0.465333580429445,0.9436406907894732,0.4931258104609027,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108900605,LOC108873060,0.2281160069381094,0.4791288270616005,0.4761057862811103,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108900605,LOC108892946,0.4763270825694586,0.977294401178438,0.4873936471907498,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108900605,LOC108883390,0.5085262551598613,1.0147124138542507,0.5011530835897549,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108900605,LOC108898592,0.2439580380018349,0.6399800279469268,0.3811963301174552,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108900605,LOC108888338,0.4993691566270717,1.4380936337700798,0.3472438406656002,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108886033,cspg4ba,0.427618819365457,-1.0,inf,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108886033,cspg4,0.8259068804002709,-1.0,inf,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
acacb,acaca,0.1753038626243624,2.179860470096454,0.0804197631129141,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
nav3,LOC108873581,0.7595694204647507,2.4591985439022044,0.3088686850226749,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
baz2ba,LOC108879901,0.3353625816634066,2.4450890875515308,0.1371576125265983,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108891710,LOC108891777,0.0910046860914942,0.1791493366179671,0.5079822666916162,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108883390,LOC108896076,0.0578038067725484,0.0462100076788716,1.2508936846374454,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108883390,LOC108892946,0.0584131360204813,0.0472771327563223,1.2355473484730255,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108883390,LOC108892635,0.1614920486742717,0.1400773153278879,1.1528779538375429,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108883390,LOC108890123,0.2615547958240731,0.2643483085517934,0.9894324546919768,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108883390,LOC108875104,0.2890656801884529,0.3549185598688744,0.8144563651313389,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108883390,LOC108875004,0.3149474361065076,0.379755615599514,0.829342406456071,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108883390,LOC108888236,0.1177941145410325,0.1023002576791223,1.1514547197965876,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108883390,LOC108894666,0.1540749831274843,0.1686703165863574,0.9134682749504388,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108883390,LOC108873842,0.0790851108645492,0.0727313632889701,1.0873591156312434,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108883390,LOC108891814,0.0826608171507352,0.0709907082194836,1.1643892450709317,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108883390,LOC108890122,0.2456595748334509,0.2653608914910856,0.9257565176732286,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108883390,LOC108892802,0.1057741086673007,0.1065342383375265,0.992864926036102,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108883390,LOC108891198,0.2808259991169581,0.2866541759122332,0.9796682648116748,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108883390,LOC108884488,0.2037872656588323,0.3059571996418174,0.6660646191604742,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108883390,LOC108899912,0.1303769899504124,0.1442952216311093,0.9035433639217874,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108883390,LOC108890022,0.5444795013849801,0.9900731368033406,0.5499386673018386,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
LOC108883390,LOC108888338,0.575592282713142,1.720830299253567,0.3344852092404538,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
si:dkey-65b12.6,LOC108888834,0.7471125634878262,-1.0,inf,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
cspg4ba,cspg4,0.7974504330256015,-1.0,inf,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
cacna1eb,cacna1ba,0.4188932601800771,2.4513782468801657,0.17088071198853,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
cacna1eb,cacna1aa,0.4338544961695518,2.000662295879732,0.2168554368536131,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
cacna1eb,cacna1ab,0.4450925276540139,1.8533006829017669,0.2401620696308813,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
cacna1eb,LOC108876486,0.6100526766512724,2.2206993664477306,0.2747119605059929,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
cacna1eb,cacna1da,0.647398292891014,2.63529347213217,0.2456645909600403,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
cacna1eb,LOC108877469,0.5735882927249972,-1.0,inf,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
cacna1eb,cacna1fb,0.6663156510757137,1.8241561433937408,0.3652733640641477,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
cacna1eb,cacna1fa,0.6754459753474367,2.6121037221406995,0.2585831372706317,GCF_001640805.2,尖吻鲈 (Lates calcarifer)
