Accession,Organism_Name,Kingdom,Phylum,Total_Length_bp,GC_Percent,Bases_Masked_bp,Bases_Masked_Percent,Retroelements_Percent,DNA_Transposons_Percent,Interspersed_Repeats_Percent,Simple_Repeats_Percent,Low_Complexity_Percent
GCF_009873245.2,Balaenoptera musculus,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_009914755.1,Homo sapiens,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_010015445.1,Perca fluviatilis,Metazoa,Chordata,951345774,40.9,44326534,4.66,0.03,0.0,0.03,4.16,0.41
GCF_010111755.1,Nakaseomyces glabratus,Fungi,Ascomycota,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_010909765.2,Amblyraja radiata,Metazoa,Chordata,2558784953,44.3,512184380,20.02,14.9,3.04,17.96,1.42,0.43
GCF_011004845.1,Esox lucius,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_011100685.1,Canis lupus familiaris,Metazoa,Chordata,2481983352,41.5,792336354,31.92,0.0,0.0,27.6,3.26,0.83
GCF_011386835.1,Chrysemys picta bellii,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_011762595.2,Tursiops truncatus,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_012275295.1,Melopsittacus undulatus,Metazoa,Chordata,1171617451,41.8,69764143,5.95,4.6,0.11,4.74,0.94,0.24
GCF_012489685.1,Lotus japonicus,Viridiplantae,Streptophyta,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_013085055.1,Fusarium oxysporum Fo47,Fungi,Ascomycota,50358849,47.72,397988,0.79,0.08,0.01,0.08,0.57,0.08
GCF_013265735.2,Oncorhynchus mykiss,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_014356525.2,Nilaparvata lugens,Metazoa,Arthropoda,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_014839805.1,Manduca sexta,Metazoa,Arthropoda,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_014858855.1,Bufo gargarizans,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_015732765.1,Culex quinquefasciatus,Metazoa,Arthropoda,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_016545825.1,Eucalyptus grandis,Viridiplantae,Streptophyta,616530258,39.39,16054343,2.6,0.0,0.0,0.0,2.01,0.59
GCF_016699485.2,Gallus gallus,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_016746395.2,Drosophila simulans,Metazoa,Arthropoda,131663590,42.47,16759123,12.73,7.31,0.78,8.36,2.55,0.34
GCF_016772045.2,Ovis aries,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_016802725.1,Solenopsis invicta,Metazoa,Arthropoda,378101515,36.24,12388160,3.28,0.0,0.0,0.0,2.73,0.54
GCF_016835505.1,Polypterus senegalus,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_017654675.1,Xenopus laevis,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_017976375.1,Cuculus canorus,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_018135715.1,Danaus plexippus,Metazoa,Arthropoda,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_018294505.1,Triticum aestivum,Viridiplantae,Streptophyta,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_018296145.1,Oncorhynchus tshawytscha,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_018340385.1,Cyprinus carpio,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_018350175.1,Felis catus,Metazoa,Chordata,2425747038,41.81,817100556,33.68,0.0,0.0,29.18,2.9,1.16
GCF_018350195.1,Panthera tigris,Metazoa,Chordata,2408695688,41.64,816160505,33.88,0.0,0.0,29.55,2.77,1.1
GCF_018350215.1,Panthera leo,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_019175285.1,Sceloporus undulatus,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_019923935.1,Bubalus bubalis,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_020283565.1,Trifolium pratense,Viridiplantae,Streptophyta,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_020379485.1,Brassica napus,Viridiplantae,Streptophyta,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_020631705.1,Daphnia magna,Metazoa,Arthropoda,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_021134715.1,Daphnia pulex,Metazoa,Arthropoda,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_021901695.1,Puccinia striiformis f. sp. tritici,Fungi,Basidiomycota,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_022201045.2,Citrus sinensis,Viridiplantae,Streptophyta,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_022682495.2,Desmodus rotundus,Metazoa,Chordata,2119721492,42.99,600608886,28.33,0.0,0.0,26.6,1.22,0.41
GCF_023065955.2,Ursus arctos,Metazoa,Chordata,2423418479,42.29,803960828,33.17,0.0,0.0,30.06,2.15,0.65
GCF_023101765.2,Spodoptera frugiperda,Metazoa,Arthropoda,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_023375975.1,Astyanax mexicanus,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_025177605.1,Cucumis melo,Viridiplantae,Streptophyta,438408223,36.06,14174613,3.23,0.0,0.0,0.0,2.59,0.64
GCF_025698485.1,Gossypium arboreum,Viridiplantae,Streptophyta,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_025698545.1,Gossypium raimondii,Viridiplantae,Streptophyta,751041726,33.24,21280979,2.83,0.0,0.0,0.0,2.1,0.73
GCF_026745355.1,Beta vulgaris subsp. vulgaris,Viridiplantae,Streptophyta,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_027595985.1,Sorex araneus,Metazoa,Chordata,2405993548,43.24,363005476,15.09,0.0,0.0,11.38,2.84,0.63
GCF_027887165.2,Monodelphis domestica,Metazoa,Chordata,3586166573,37.92,901983734,25.15,0.0,0.0,22.2,2.43,0.51
GCF_028858775.2,Pan troglodytes,Metazoa,Chordata,3177756316,40.57,1485743482,46.75,37.17,3.46,41.41,1.51,0.19
GCF_028885625.2,Pongo pygmaeus,Metazoa,Chordata,3220951552,40.88,1747838078,54.26,0.0,0.0,0.0,3.21,0.21
GCF_028885655.2,Pongo abelii,Metazoa,Chordata,3259870029,40.88,1782487688,54.68,0.0,0.0,0.0,3.12,0.2
GCF_029169275.1,Apis cerana,Metazoa,Arthropoda,223056484,32.68,13168414,5.9,0.13,0.33,0.46,4.15,1.12
GCF_029281585.2,Gorilla gorilla gorilla,Metazoa,Chordata,3545850636,40.49,1798979152,50.73,0.0,0.0,0.0,4.18,0.23
GCF_029289425.2,Pan paniscus,Metazoa,Chordata,3244905271,40.43,1539311173,47.44,36.53,3.38,40.68,2.26,0.19
GCF_029378745.1,Bos indicus,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_030014295.1,Loxodonta africana,Metazoa,Chordata,3540876381,41.25,1059168385,29.91,0.0,0.0,27.01,1.78,0.48
GCF_030052815.1,Hevea brasiliensis,Viridiplantae,Streptophyta,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_030254825.1,Meriones unguiculatus,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_030269925.1,Bombyx mori,Metazoa,Arthropoda,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_030506205.2,Paramisgurnus dabryanus,Metazoa,Chordata,1043485661,38.27,243584536,23.34,5.0,12.74,17.94,1.32,0.18
GCF_030704535.1,Vitis vinifera,Viridiplantae,Streptophyta,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_030788295.1,Drosophila virilis,Metazoa,Arthropoda,189440335,40.31,25530126,13.48,6.62,0.17,6.78,5.3,0.59
GCF_030867145.1,Opisthocomus hoazin,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_031307605.1,Tribolium castaneum,Metazoa,Arthropoda,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_032884065.1,Artemia franciscana,Metazoa,Arthropoda,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_034140825.1,Oryza sativa Japonica Group,Viridiplantae,Streptophyta,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_035046485.1,Aedes albopictus,Metazoa,Arthropoda,1344164507,40.33,18395573,1.37,0.0,0.0,0.0,1.26,0.11
GCF_035594765.1,Anolis carolinensis,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_035609145.1,Eleutherodactylus coqui,Metazoa,Chordata,3371297528,44.91,66762598,1.98,0.0,0.0,0.0,1.5,0.17
GCF_036013475.1,Columba livia,Metazoa,Chordata,1325566026,42.0,94517871,7.13,3.53,0.11,3.67,2.83,0.61
GCF_036321535.1,Camelus dromedarius,Metazoa,Chordata,2306603094,41.64,673729078,29.21,0.0,0.0,27.6,1.08,0.21
GCF_036323735.1,Rattus norvegicus,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_036417665.1,Passer domesticus,Metazoa,Chordata,1310131054,43.99,41829990,3.19,1.23,0.08,1.33,1.39,0.44
GCF_036417845.1,Apteryx mantelli,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_036512215.1,Solanum lycopersicum,Viridiplantae,Streptophyta,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_036711975.1,Onthophagus taurus,Metazoa,Arthropoda,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_036785885.1,Coffea arabica,Viridiplantae,Streptophyta,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_036884655.1,Musa acuminata AAA Group,Viridiplantae,Streptophyta,1533734047,39.78,80392369,5.24,1.26,0.21,1.48,1.97,0.29
GCF_037176945.1,Latimeria chalumnae,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_037890685.1,Hydra vulgaris,Metazoa,Cnidaria,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_037993035.2,Macaca fascicularis,Metazoa,Chordata,3060038958,41.05,1620648056,52.96,0.0,0.0,0.0,1.34,0.22
GCF_040182565.1,Anser cygnoides,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_040183065.1,Periplaneta americana,Metazoa,Arthropoda,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_040581485.1,Linepithema humile,Metazoa,Arthropoda,244442583,37.22,7144065,2.92,0.0,0.0,0.0,2.41,0.48
GCF_040807025.1,Struthio camelus,Metazoa,Chordata,1452018929,44.34,67985134,4.68,2.74,0.18,2.96,1.33,0.29
GCF_040939455.1,Microcebus murinus,Metazoa,Chordata,2350949499,41.66,916469656,38.98,0.0,0.0,0.0,1.34,0.28
GCF_040954835.1,Lepisosteus oculatus,Metazoa,Chordata,1200589847,40.66,83151274,6.93,3.75,1.77,5.54,0.79,0.15
GCF_041296235.1,Equus asinus,Metazoa,Chordata,2797772842,42.37,989951808,35.38,0.0,0.0,34.08,0.95,0.19
GCF_041296265.1,Equus caballus,Metazoa,Chordata,2769454835,42.9,939500680,33.92,0.0,0.0,32.77,0.87,0.19
GCF_041902795.1,Electrophorus electricus,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_042453785.1,Malus domestica,Viridiplantae,Streptophyta,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_043380555.1,Nothobranchius furzeri,Metazoa,Chordata,1479202486,44.51,222907017,15.07,8.04,3.42,11.56,2.36,0.17
GCF_047511655.1,Castor canadensis,Metazoa,Chordata,2814832999,39.67,752397164,26.73,0.0,0.0,24.53,1.37,0.39
GCF_047663525.1,Anas platyrhynchos,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_047675955.1,Chlorocebus sabaeus,Metazoa,Chordata,3267390416,41.01,1820548839,55.72,0.0,0.0,0.0,1.19,0.21
GCF_048164855.1,Canis lupus baileyi,Metazoa,Chordata,2495589887,41.56,793138141,31.78,0.0,0.0,27.49,3.24,0.82
GCF_048418805.1,Vulpes vulpes,Metazoa,Chordata,2395584468,41.31,763270182,31.86,0.0,0.0,27.68,3.08,0.85
GCF_048771995.1,Taeniopygia guttata,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_048773025.1,Camelus bactrianus,Metazoa,Chordata,2473918224,41.95,698183723,28.22,0.0,0.0,26.55,1.12,0.21
GCF_049306965.1,Danio rerio,Metazoa,Chordata,1448808562,37.14,883778783,61.0,10.77,38.38,49.54,3.29,0.27
GCF_049350105.2,Macaca mulatta,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_049852395.1,Peromyscus maniculatus bairdii,Metazoa,Chordata,2587081605,42.31,594686859,22.99,0.0,0.0,19.75,2.74,0.37
GCF_051106095.1,Pogona vitticeps,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_053564925.1,Oryzias latipes,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_053919585.1,Euprymna scolopes,Metazoa,Mollusca,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_054131305.1,Coturnix japonica,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_054392235.1,Sus scrofa,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_900324485.3,Mastacembelus armatus,Metazoa,Chordata,591935101,40.66,56790749,9.59,4.03,3.33,7.39,1.79,0.29
GCF_900496995.4,Aquila chrysaetos chrysaetos,Metazoa,Chordata,1233704830,42.16,45368147,3.68,2.29,0.18,2.51,0.95,0.21
GCF_900964775.1,Scleropages formosus,Metazoa,Chordata,784563014,44.16,88259866,11.25,5.1,4.06,9.19,1.74,0.18
GCF_901000725.3,Takifugu rubripes,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_902167145.1,Zea mays,Viridiplantae,Streptophyta,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_902167405.1,Gadus morhua,Metazoa,Chordata,669966409,45.64,65618460,9.79,0.0,0.0,0.0,8.72,0.94
GCF_902713615.2,Scyliorhinus canicula,Metazoa,Chordata,4220406627,47.65,758299321,17.97,12.84,3.61,16.54,0.97,0.24
GCF_903797595.1,Erithacus rubecula,Metazoa,Chordata,1086738418,42.1,33825056,3.11,1.15,0.09,1.27,1.5,0.31
GCF_904849725.1,Hordeum vulgare subsp. vulgare,Viridiplantae,Streptophyta,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_905171775.1,Rana temporaria,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_905368555.1,Meleagris gallopavo,Metazoa,Chordata,1001661938,41.11,55275962,5.52,3.77,0.11,3.91,1.31,0.3
GCF_910591885.1,Bombus terrestris,Metazoa,Arthropoda,392962041,38.7,70292095,17.89,0.0,0.0,0.0,17.57,0.29
GCF_910594005.1,Cervus elaphus,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_917208135.1,Athalia rosae,Metazoa,Arthropoda,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_918797505.1,Bemisia tabaci,Metazoa,Arthropoda,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_932276165.2,Plutella xylostella,Metazoa,Arthropoda,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_932294415.1,Quercus robur,Viridiplantae,Streptophyta,789348578,35.68,36131570,4.58,0.43,0.19,0.61,2.84,0.81
GCF_932526225.1,Nematostella vectensis,Metazoa,Cnidaria,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_943734735.2,Anopheles gambiae,Metazoa,Arthropoda,264466744,44.39,12889396,4.87,1.3,0.27,1.58,2.28,0.24
GCF_950295315.1,Erinaceus europaeus,Metazoa,Chordata,2720683831,42.0,535125508,19.67,0.0,0.0,12.75,5.31,1.46
GCF_963853765.1,Magallana gigas,Metazoa,Mollusca,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_964188315.1,Podarcis muralis,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_964211835.1,Anser anser,Metazoa,Chordata,1313438308,43.53,73399089,5.59,3.19,0.12,3.35,1.79,0.4
GCF_964237555.1,Oryctolagus cuniculus,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
GCF_964276395.1,Gasterosteus aculeatus,Metazoa,Chordata,511138727,44.71,21622203,4.23,0.19,0.0,0.19,2.9,0.29
GCF_965178545.1,Coloeus monedula,Metazoa,Chordata,1263996688,44.16,45303754,3.58,1.56,0.1,1.68,1.53,0.34
GCF_965601325.1,Salmo salar,Metazoa,Chordata,2825058374,43.52,203364062,7.2,0.0,0.0,0.0,6.29,0.65
GCF_965638725.1,Aptenodytes patagonicus,Metazoa,Chordata,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
