Accession,Total_Transcripts,Median_Intron_bp,Mean_Intron_bp,Total_Intergenic,Median_Intergenic_bp,Mean_Intergenic_bp
GCF_040183065.1,39042,5877.08,14873.38,21828,16552.00,88439.15
GCF_037176945.1,33201,4368.09,8521.47,24943,14399.00,64584.55
GCF_036512215.1,42895,539.27,879.52,38409,3679.00,17323.61
GCF_037890685.1,32829,1999.03,3195.07,27878,9731.50,15519.17
GCF_040939455.1,44406,3140.30,6848.31,27440,9633.50,51857.66
GCF_040954835.1,48729,1528.85,3442.09,44222,2033.00,11915.84
GCF_040182565.1,55634,2062.06,5055.74,21122,5263.00,25970.62
GCF_037993035.2,133399,3752.47,7784.78,27661,18054.00,68561.81
GCF_042453785.1,59973,337.33,596.47,46413,4490.00,10455.81
GCF_043380555.1,49059,1291.75,3426.42,33231,3096.00,25926.36
GCF_040807025.1,63211,2294.50,5157.37,19947,5115.00,33403.85
GCF_041296235.1,77667,3308.30,7272.14,25949,13698.00,59934.79
GCF_036884655.1,148704,580.93,832.45,115987,1768.00,8609.15
GCF_041296265.1,104772,3397.54,7111.79,28455,14305.00,55080.06
GCF_041902795.1,67487,821.60,1745.42,30367,2184.00,13014.45
GCF_047511655.1,64259,3210.15,7471.09,27905,14192.00,66534.39
GCF_047663525.1,54716,2096.95,5024.63,21629,5554.00,28695.05
GCF_047675955.1,60724,3656.03,7656.92,24027,17565.00,73212.99
GCF_048164855.1,80949,3510.07,7501.54,28665,15642.00,49048.61
GCF_048418805.1,74474,3497.90,7782.64,22855,13433.00,60098.45
GCF_051106095.1,56242,3130.47,7422.57,24377,8656.00,36663.00
GCF_048773025.1,62841,2741.12,6160.94,24856,10704.50,58311.70
GCF_048771995.1,49242,2031.31,5262.22,18763,5337.00,29557.44
GCF_053919585.1,39200,12112.90,24499.73,50530,430.00,75458.76
GCF_053564925.1,64234,1060.75,2696.03,35300,1991.50,11371.22
GCF_049852395.1,70718,3064.10,6510.70,27424,15783.00,59816.25
GCF_049306965.1,102538,2281.42,5088.49,41998,2422.00,15190.88
GCF_049350105.2,119444,3304.60,6570.93,29064,17295.00,70269.24
GCF_900964775.1,47895,985.80,2054.26,25610,3800.50,13547.09
GCF_900324485.3,42451,700.75,1648.53,22549,2315.00,10745.81
GCF_900496995.4,54902,2107.78,4567.65,18165,5299.00,32506.74
GCF_901000725.3,47808,454.33,1133.08,23593,1318.00,6149.58
GCF_902167405.1,45453,806.07,1672.61,29679,1556.00,9896.44
GCF_904849725.1,35372,386.27,848.96,51097,7172.00,79532.72
GCF_903797595.1,36931,1856.21,4655.98,16236,6124.00,30735.66
GCF_902713615.2,49709,7324.77,13277.70,24953,27709.00,91954.36
GCF_902167145.1,58893,414.33,853.69,42394,17650.50,46015.30
GCF_905171775.1,40212,5970.17,11399.37,33780,17064.00,71026.82
GCF_054131305.1,81682,1635.97,4000.05,24799,4011.00,26027.23
GCF_910591885.1,26660,442.57,2874.12,9861,1087.00,14590.87
GCF_905368555.1,47224,1705.76,4211.67,16853,4131.00,26462.81
GCF_054392235.1,134823,3692.48,8877.80,27617,13327.00,53392.09
GCF_918797505.1,24560,1952.47,5987.49,12540,3936.50,19546.36
GCF_932276165.2,19000,944.10,2798.83,14456,2655.00,10502.48
GCF_932526225.1,31096,772.05,1291.23,33552,493.50,2878.52
GCF_932294415.1,51502,711.00,2331.43,39443,7557.00,14792.27
GCF_943734735.2,30010,1102.50,3064.21,12375,1806.00,9918.33
GCF_917208135.1,27080,336.40,1588.07,9951,802.00,6684.09
GCF_950295315.1,50654,3349.29,7699.07,23995,15974.00,68600.85
GCF_910594005.1,56333,2975.41,7177.48,28010,15464.00,63593.32
GCF_964188315.1,52709,2426.50,5413.43,22283,6918.00,33798.10
GCF_964276395.1,60628,625.31,1430.51,47555,443.00,4217.86
GCF_963853765.1,51629,879.00,1756.55,29586,4023.00,9194.08
GCF_965178545.1,27222,1679.41,3860.13,15568,6405.00,40880.13
GCF_965638725.1,36572,2218.44,5046.00,16887,6253.00,38861.79
GCF_964237555.1,78051,3709.58,8135.25,26546,14790.50,62584.95
GCF_964211835.1,65510,2285.04,5766.20,20507,5562.00,26819.50
GCF_965601325.1,87100,1612.62,3481.91,78209,1274.00,17771.62
GCF_009193385.2,34966,394.58,3708.42,11079,1497.00,12377.27
GCF_035046485.1,31175,3763.67,11989.44,21165,13017.00,40343.87
GCF_032884065.1,27733,7536.94,10300.03,15378,12696.00,27002.26
GCF_020631705.1,29175,106.17,381.67,22075,788.00,3516.41
GCF_031307605.1,22751,464.14,1933.52,12183,1374.00,11316.69
GCF_034140825.1,41121,375.50,607.22,35374,3297.00,7352.12
GCF_035609145.1,36111,3874.92,7829.72,47066,1829.00,42729.13
GCF_035594765.1,48009,3211.00,7543.51,22333,9673.00,42333.47
GCF_036711975.1,20792,799.29,2941.17,14009,3229.00,11111.60
GCF_036417845.1,34236,1863.93,4265.53,19402,6409.50,40884.36
GCF_036321535.1,52002,2655.94,6024.58,23852,10776.50,52974.93
GCF_036013475.1,61914,2191.31,4999.74,18736,5482.00,28735.01
GCF_036417665.1,53426,2009.06,4970.85,25370,6678.00,28369.65
GCF_036785885.1,82726,469.75,682.43,73684,3148.00,12832.43
GCF_036323735.1,87086,2867.85,6804.80,31905,18385.00,60475.51
