BUSCO_ID,Mean_Ka,Mean_Ks,Mean_KaKs,Median_KaKs,Num_Pairs,Selection_Status
1504863at2759,0.70924,1.05448,1.06092,0.81102,82,Purifying
1450538at2759,1.59033,0.50694,4.57635,5.09423,10,Positive
1405146at2759,1.30654,0.59073,2.57012,2.63393,10,Positive
946128at2759,1.39895,0.4925,3.85618,2.12878,19,Positive
1304061at2759,0.72687,0.73118,1.11921,1.00182,54,Positive
1538526at2759,1.06868,0.59354,2.47968,2.36005,92,Positive
1454155at2759,0.77872,0.85872,1.53325,0.8912,101,Purifying
1266231at2759,0.79326,1.03348,1.13513,0.80442,21,Purifying
1257440at2759,0.53282,0.92194,1.01671,0.38496,92,Purifying
453044at2759,0.74301,0.64428,1.26178,1.23538,78,Positive
834694at2759,0.90954,0.72735,1.43487,1.21013,43,Positive
1041560at2759,1.38129,0.54824,3.73798,3.25838,9,Positive
320059at2759,0.61246,1.28494,0.72794,0.62908,15,Purifying
1513531at2759,0.54307,1.01489,0.86119,0.6076,103,Purifying
1526152at2759,1.06407,0.76327,2.16537,0.93836,15,Purifying
975557at2759,0.79188,0.83279,1.42783,1.18037,92,Positive
1474000at2759,1.40713,0.69643,4.02978,2.14645,23,Positive
1645187at2759,0.94004,0.63784,2.01372,1.43968,103,Positive
1291729at2759,1.76385,0.42872,4.54844,3.68006,14,Positive
1138059at2759,0.91239,1.01055,1.34467,0.9136,21,Purifying
1441854at2759,0.88613,0.68924,2.31442,1.35762,10,Positive
673132at2759,0.91383,0.82459,1.31819,1.37008,45,Positive
1085752at2759,1.08093,0.50595,2.42007,1.58295,102,Positive
1488436at2759,0.52636,1.28285,0.57087,0.3772,32,Purifying
513979at2759,1.6776,0.43499,4.63348,3.71008,6,Positive
1003258at2759,0.8465,0.64667,1.40629,1.25198,105,Positive
1428854at2759,1.04861,0.65035,1.99211,1.82032,15,Positive
83779at2759,1.43442,0.76256,3.53437,2.25606,44,Positive
869548at2759,0.7329,1.19115,1.55181,0.22091,46,Purifying
369837at2759,1.20009,0.51684,2.82036,3.35842,21,Positive
388820at2759,0.87578,0.93128,1.54496,1.38212,45,Positive
858842at2759,1.00453,0.56855,2.07886,2.36615,105,Positive
761109at2759,0.46203,1.00298,0.70181,0.16674,105,Purifying
1459797at2759,0.87417,0.30991,2.56233,2.12642,57,Positive
1338131at2759,0.47395,1.15211,0.61578,0.38686,89,Purifying
1407446at2759,1.84515,0.33831,5.15931,5.21371,9,Positive
1370285at2759,1.1122,0.97813,2.59054,1.28238,20,Positive
160593at2759,1.06433,0.88544,1.94766,1.7117,10,Positive
917326at2759,0.83468,0.82624,1.57947,1.56261,87,Positive
939345at2759,1.49834,0.55123,3.4633,3.06924,13,Positive
355408at2759,0.55396,1.19029,0.70275,0.57348,83,Purifying
1398309at2759,1.20695,0.57597,3.39411,3.98692,31,Positive
570797at2759,1.26209,0.73983,3.06069,2.08696,53,Positive
1025450at2759,1.50509,0.40291,4.57431,5.13734,8,Positive
296129at2759,0.72629,1.13938,0.95951,0.59345,20,Purifying
1426075at2759,0.7673,0.83368,1.91144,0.79823,95,Purifying
671536at2759,1.08438,0.80125,2.38696,1.20687,10,Positive
1322642at2759,1.34029,0.43534,3.32319,3.03025,15,Positive
1355894at2759,1.15163,0.64636,3.03036,2.44278,72,Positive
1309031at2759,1.04259,0.91216,2.60424,3.18696,78,Positive
865202at2759,1.19641,0.61227,2.65147,2.07396,14,Positive
671846at2759,1.16978,0.81456,2.83368,2.64241,19,Positive
1014314at2759,0.08835,2.13569,0.03617,0.03191,12,Strong Purifying
1423847at2759,1.10047,0.66528,2.11011,2.1809,36,Positive
331411at2759,1.19254,0.76469,2.99475,4.35442,10,Positive
1588798at2759,1.41772,0.63717,3.72547,2.26567,15,Positive
245208at2759,0.46825,1.39835,0.5976,0.2587,61,Purifying
1284731at2759,0.90663,0.88388,1.63738,1.08398,90,Positive
944899at2759,0.46362,1.35494,0.44806,0.28936,94,Purifying
901894at2759,1.05684,0.57604,2.19224,1.76223,78,Positive
551907at2759,1.45388,0.49269,3.59741,3.1593,21,Positive
1490022at2759,0.88313,0.60806,2.1099,1.41399,21,Positive
1051021at2759,1.13997,0.56512,2.20497,2.08747,15,Positive
1115196at2759,1.18104,0.61614,2.73805,1.99136,8,Positive
299766at2759,1.29462,0.52175,3.23682,3.36371,44,Positive
87842at2759,0.67809,0.73472,1.70595,0.3302,92,Purifying
1545004at2759,1.07385,0.78531,2.50709,2.44051,100,Positive
1018517at2759,0.89967,0.72285,1.46629,1.10566,14,Positive
1228942at2759,1.39745,0.48635,3.60211,4.07247,10,Positive
1626636at2759,1.20614,0.53031,3.97219,4.51006,10,Positive
931188at2759,1.65469,0.48678,4.24522,4.20113,55,Positive
1264469at2759,0.80001,0.73983,1.65999,1.85569,105,Positive
722805at2759,1.22353,0.85609,3.29261,4.05096,15,Positive
836599at2759,0.68786,1.41658,0.89411,0.96759,65,Purifying
719531at2759,0.9548,0.81651,1.86333,0.96604,52,Purifying
1434266at2759,0.9572,0.7291,1.85959,1.60269,103,Positive
390348at2759,0.66486,0.91644,0.77681,0.75517,15,Purifying
1269649at2759,0.54011,1.1569,0.5401,0.51671,96,Purifying
1346432at2759,0.80774,1.06041,1.44633,0.61233,101,Purifying
176625at2759,1.89028,0.4521,4.87808,5.92778,10,Positive
975158at2759,1.28037,0.56292,3.39441,4.07347,15,Positive
1233814at2759,1.19117,0.74493,2.91931,1.3674,34,Positive
1194797at2759,0.95775,0.49025,2.13009,2.04292,10,Positive
543764at2759,1.22459,0.60978,2.92054,1.7187,98,Positive
271586at2759,1.27186,0.56382,3.39775,2.30488,88,Positive
1575179at2759,1.41935,0.50893,4.5513,4.47559,48,Positive
1348942at2759,1.06736,0.4372,2.56008,2.21569,66,Positive
1112002at2759,1.38599,0.50869,3.51415,3.10481,28,Positive
734666at2759,0.64887,0.7724,1.06032,1.05845,105,Positive
1479417at2759,0.94571,0.729,2.2726,0.6771,105,Purifying
1178688at2759,1.12697,0.44819,2.84241,2.28916,43,Positive
887370at2759,0.97451,0.53379,2.36292,2.93781,105,Positive
1617752at2759,1.00748,0.68581,1.7741,1.34289,10,Positive
1558822at2759,0.47043,1.10931,0.61098,0.33347,87,Purifying
1220881at2759,1.29687,0.46458,3.04912,2.82568,11,Positive
1339553at2759,1.30524,0.38323,3.3719,3.33296,10,Positive
1405073at2759,0.45581,1.15767,0.4838,0.42375,102,Purifying
345441at2759,0.77228,0.73882,1.1149,1.09876,10,Positive
1248958at2759,0.79552,0.69545,1.44549,0.932,91,Purifying
891751at2759,0.96285,0.77684,1.64178,1.43249,10,Positive
100698at2759,0.7565,1.07671,1.13945,0.5931,10,Purifying
426305at2759,1.06725,0.8695,2.30893,2.00163,41,Positive
1107630at2759,0.79851,0.76287,1.25205,1.2654,10,Positive
974865at2759,1.13963,0.55055,2.40481,2.01433,15,Positive
1032689at2759,1.10524,0.62398,2.11422,1.80149,15,Positive
1260807at2759,1.29788,0.63782,2.52055,1.79854,21,Positive
1106766at2759,0.91825,0.86366,2.45056,0.63477,90,Purifying
97116at2759,1.48804,0.71331,4.41545,5.78673,83,Positive
1593937at2759,1.03259,0.45075,3.11086,0.75737,7,Purifying
1633672at2759,0.38799,0.74315,0.78068,0.46336,42,Purifying
1019762at2759,1.21352,0.54159,2.97635,1.64707,8,Positive
1222562at2759,0.87419,0.91975,1.21984,1.20515,52,Positive
937275at2759,1.17828,0.49191,2.79383,2.47653,92,Positive
1287094at2759,1.49309,0.35019,4.46502,4.70846,46,Positive
1530008at2759,0.43416,1.30039,0.45631,0.51262,28,Purifying
625387at2759,1.63675,0.61339,4.05064,4.45005,5,Positive
1314980at2759,1.4984,0.5818,4.5244,5.50287,76,Positive
1552706at2759,1.16672,0.61267,2.49606,2.13588,77,Positive
1096688at2759,0.89411,0.79541,1.52498,1.43732,9,Positive
1358374at2759,0.85638,0.52554,2.01435,1.22697,15,Positive
814241at2759,0.90152,1.03576,2.05425,0.50444,50,Purifying
1079827at2759,0.31263,1.81078,0.21108,0.20649,70,Purifying
844748at2759,1.57168,0.42904,3.93671,3.39041,10,Positive
1377237at2759,0.66367,0.87556,1.10036,1.0,35,Positive
1623701at2759,0.85049,0.88049,1.80577,1.25404,54,Positive
720340at2759,1.16737,0.58527,2.87558,2.86494,93,Positive
179362at2759,1.48412,0.41005,3.9687,3.56694,7,Positive
1129824at2759,1.30283,0.50142,2.89809,2.83831,27,Positive
1182451at2759,1.20117,0.68989,3.76321,4.96158,36,Positive
1236198at2759,0.14667,1.37881,0.22556,0.08486,6,Strong Purifying
